                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7553,                 1.9527,                 2.6477,                0.73322,                0.54425,                0.64845,                0.21622,                 2.2837,                 1.2171,                 1.8918,             0.00066461,             0.00066461,             0.00066461
                      2,                 1.3958,                0.77048,                  1.354,                 0.9038,                0.88373,                0.95849,                0.61475,                 1.2705,                0.72468,                 1.1515,              0.0012654,              0.0012654,              0.0012654
                      3,                 1.0499,                0.61618,                 1.0759,                0.90202,                0.90594,                0.97114,                0.67013,                  1.185,                0.66881,                 1.0689,              0.0018001,              0.0018001,              0.0018001
                      4,                0.87519,                0.53911,                 0.9806,                 0.9218,                0.90594,                0.96399,                0.59215,                 1.4264,                 0.6972,                 1.0501,               0.001703,               0.001703,               0.001703
                      5,                0.74697,                0.47489,                 0.9223,                0.91685,                0.92794,                0.96718,                0.65839,                 1.2455,                0.61225,                0.98632,               0.001703,               0.001703,               0.001703
                      6,                0.69098,                0.44116,                0.88366,                0.92645,                0.93564,                0.97953,                0.70133,                 1.0855,                0.56276,                0.94931,               0.001604,               0.001604,               0.001604
                      7,                0.62652,                0.40657,                0.87198,                0.91781,                0.91584,                0.96508,                0.70427,                 1.0476,                0.53489,                0.96305,               0.001505,               0.001505,               0.001505
                      8,                0.58316,                0.37969,                0.85153,                0.94169,                0.93069,                0.97747,                0.71426,                  1.077,                 0.5414,                0.93358,               0.001406,               0.001406,               0.001406
                      9,                0.56164,                  0.363,                 0.8484,                0.96377,                0.92177,                0.97517,                0.74916,                0.95809,                 0.5099,                 0.9306,               0.001307,               0.001307,               0.001307
                     10,                0.51863,                 0.3421,                0.83323,                0.94132,                0.93564,                0.98234,                0.69752,                 1.1127,                0.51669,                0.93441,               0.001208,               0.001208,               0.001208
                     11,                 0.4887,                0.33043,                0.81994,                0.96943,                0.86345,                0.94824,                0.68691,                 1.1083,                 0.6118,                0.93777,               0.001109,               0.001109,               0.001109
                     12,                0.45439,                0.30744,                0.81259,                0.94986,                0.98467,                0.98834,                0.75265,                0.95787,                0.46253,                0.90021,                0.00101,                0.00101,                0.00101
                     13,                0.42999,                0.29424,                0.80287,                0.95178,                0.90347,                0.97157,                0.73748,                0.99392,                0.47108,                0.91085,               0.000911,               0.000911,               0.000911
                     14,                0.41265,                0.28303,                0.79797,                0.95095,                0.94554,                0.98602,                0.73459,                 1.0243,                0.48036,                0.90177,               0.000812,               0.000812,               0.000812
                     15,                0.40149,                0.27215,                0.79488,                0.95169,                0.92652,                0.98278,                0.75282,                0.94017,                0.49257,                0.89528,               0.000713,               0.000713,               0.000713
                     16,                0.38625,                0.26252,                0.79126,                0.96897,                 0.9505,                0.98764,                0.74319,                 1.0279,                0.47662,                0.89661,               0.000614,               0.000614,               0.000614
                     17,                0.37946,                0.25822,                0.79059,                0.96615,                0.91832,                0.98409,                0.74533,                0.98398,                 0.4537,                0.90461,               0.000515,               0.000515,               0.000515
                     18,                0.37139,                0.25473,                0.78657,                0.96781,                0.94307,                0.98907,                0.75102,                0.99526,                0.45887,                0.88015,               0.000416,               0.000416,               0.000416
                     19,                0.36032,                 0.2473,                0.78642,                 0.9567,                0.91584,                0.97536,                0.74152,                0.98119,                0.49454,                0.90495,               0.000317,               0.000317,               0.000317
                     20,                0.35147,                0.24177,                0.78399,                0.96125,                0.98243,                0.98869,                 0.7813,                0.89469,                0.40677,                0.88355,               0.000218,               0.000218,               0.000218
